Date,Open,High,Low,Close,Volume,Symbol,Daily_Return
2023-07-03,32.8700176594415,33.21302468720255,32.47800642328926,32.94841766357422,15753000,INTC,
2023-07-05,32.644612452061054,32.66421338768522,31.85079138251512,31.8605899810791,37664700,INTC,-0.0330160827024405
2023-07-06,31.262773722505944,31.399978390882627,30.75316065538785,31.331375122070312,41693600,INTC,-0.0166103282871745
2023-07-07,31.36077891206632,31.76258874233732,31.18437423160625,31.213775634765625,28345700,INTC,-0.0037534097002288
2023-07-10,31.2333728235946,32.174197050108674,31.13537002740073,32.085994720458984,36305700,INTC,0.0279434021663784
2023-07-11,32.164392623912164,32.693606567416026,31.850785191871832,32.634803771972656,28148800,INTC,0.0171043178276075
2023-07-12,33.01701582353505,33.399228423535064,32.399603234257164,33.30122375488281,37762200,INTC,0.0204205297990021
2023-07-13,33.4678335894714,33.61483500125244,32.94841813338885,33.19342422485352,32745800,INTC,-0.0032371041623803
2023-07-14,33.10521309299597,33.193415412045496,32.340795486896894,32.48780059814453,30426200,INTC,-0.0212579341597621
2023-07-17,32.49760504848202,33.9088386690032,32.40940271354346,33.683433532714844,34111200,INTC,0.03680252010161
2023-07-18,33.595234049980164,34.006846227470966,33.1542260763421,33.81084060668945,29679500,INTC,0.0037824847591878
2023-07-19,33.71283028057749,34.14403953545988,33.644228893175644,33.771629333496094,26486700,INTC,-0.0011597248837877
2023-07-20,33.026824780635806,33.52663560622542,32.56621209186941,32.70341491699219,37878000,INTC,-0.0316305264977075
2023-07-21,33.05621945219162,33.56583254084737,32.752410570926834,33.34042739868164,79724100,INTC,0.0194784698572403
2023-07-24,33.164021822645815,33.77163583016144,32.88961622025087,32.95821762084961,25225800,INTC,-0.0114638535751687
2023-07-25,33.026819580894006,33.654034533276025,32.732813039276934,33.418827056884766,31771100,INTC,0.0139755566072774
2023-07-26,33.04642240194962,33.84023973578182,33.02682146625675,33.67363739013672,32643200,INTC,0.0076247539393952
2023-07-27,34.12444357049192,34.330247762644376,33.42862726074078,33.85983657836914,58890800,INTC,0.0055295240628492
2023-07-28,36.015887959560686,36.25109540341828,34.80065635353817,36.09429168701172,90863000,INTC,0.0659913140298504
2023-07-31,36.13349081102357,36.44709825250526,34.957461036219414,35.05546569824219,55630700,INTC,-0.0287808941584895
2023-08-01,35.104466502664245,35.300472090127435,34.575252538062315,35.08486557006836,24702200,INTC,0.0008386672731506
2023-08-02,34.447857871766594,34.47725740635223,33.59523398382054,33.70303726196289,39052000,INTC,-0.039385310037623
2023-08-03,33.605030748039106,34.3302465631894,33.44822702542588,34.17344284057617,24817900,INTC,0.013957364582811
2023-08-04,33.91280775321122,34.975043685807705,33.91280775321122,34.56195068359375,26664300,INTC,0.0113687065371206
2023-08-07,34.82750622354184,34.965202626684565,34.17836335733644,34.65046691894531,22486900,INTC,0.002561089105239
2023-08-08,34.09967917404251,34.52260600489445,33.30300601746458,34.44392395019531,34753600,INTC,-0.0059607557160238
2023-08-09,34.4242522169312,34.52260572248699,33.66691821792523,33.716094970703125,28720200,INTC,-0.0211308380701513
2023-08-10,34.129187595095544,34.512771515517244,33.91280538277738,34.10951614379883,30957300,INTC,0.0116686458926384
2023-08-11,33.893132309769804,34.375073463615266,33.794778809937924,34.31605911254883,28752000,INTC,0.0060552887317208
2023-08-14,34.09967948688556,35.1225724709791,33.902972472360176,35.09306716918945,36896100,INTC,0.0226426948995575
2023-08-15,34.82750763483381,35.04388984965245,34.17836474232362,34.198036193847656,27420300,INTC,-0.025504495546847
2023-08-16,33.952147893919765,34.06033899883146,32.90958349888829,32.97843170166016,35757300,INTC,-0.0356629978772554
2023-08-17,33.007942201118006,33.0374475030434,31.817843746867872,32.044063568115234,39906700,INTC,-0.0283327036894205
2023-08-18,31.699819065082128,32.36863342885599,31.65064231079349,32.211265563964844,23692300,INTC,0.0052178774235107
2023-08-21,32.063730695957865,32.6243539342114,31.49327360788662,32.5948486328125,43718200,INTC,0.0119083513836468
